id,nome,data_fondazione,quotazioni,sede
17500,Harrell-Fisher,1963-08-11,"[{'azionista': 239, 'quota': 21}, {'azionista': 205, 'quota': 63}, {'azionista': 5852, 'quota': 16}]",33
17501,"Howard, Perez and Harrison",1993-03-05,"[{'azionista': 2762, 'quota': 47}, {'azionista': 5114, 'quota': 32}, {'azionista': 3374, 'quota': 21}]",77
17502,Stewart-Shepard,1988-02-04,"[{'azionista': 3151, 'quota': 15}, {'azionista': 3461, 'quota': 85}]",66
17503,"Mitchell, Miranda and Williams",1997-06-02,"[{'azionista': 267, 'quota': 4}, {'azionista': 1120, 'quota': 92}, {'azionista': 6583, 'quota': 4}]",8
17504,"Jimenez, George and Williams",1976-01-22,"[{'azionista': 662, 'quota': 92}, {'azionista': 6746, 'quota': 6}, {'azionista': 1829, 'quota': 2}]",82
17505,"Hodges, Wells and Watkins",1974-06-07,"[{'azionista': 1994, 'quota': 71}, {'azionista': 9759, 'quota': 29}]",65
17506,Robertson Group,1978-08-29,"[{'azionista': 181, 'quota': 31}, {'azionista': 8522, 'quota': 48}, {'azionista': 3870, 'quota': 21}]",25
17507,"Davis, Manning and Vasquez",1997-02-15,"[{'azionista': 8516, 'quota': 42}, {'azionista': 4361, 'quota': 23}, {'azionista': 585, 'quota': 21}, {'azionista': 4042, 'quota': 14}]",36
17508,Martinez PLC,1962-06-26,"[{'azionista': 7447, 'quota': 73}, {'azionista': 1811, 'quota': 27}]",89
17509,"Hicks, Woodard and Barnes",1964-03-27,"[{'azionista': 3640, 'quota': 74}, {'azionista': 3094, 'quota': 19}, {'azionista': 6381, 'quota': 7}]",53
17510,Lin-Bass,1983-07-21,"[{'azionista': 247, 'quota': 26}, {'azionista': 544, 'quota': 24}, {'azionista': 9922, 'quota': 7}, {'azionista': 7230, 'quota': 17}, {'azionista': 8875, 'quota': 7}, {'azionista': 8451, 'quota': 19}]",52
17511,Powell-Stone,1989-03-03,"[{'azionista': 1264, 'quota': 68}, {'azionista': 6892, 'quota': 21}, {'azionista': 6881, 'quota': 11}]",35
17512,Fox-Neal,1999-09-13,"[{'azionista': 5255, 'quota': 62}, {'azionista': 8720, 'quota': 38}]",58
17513,"Lewis, Bowers and Graham",1993-09-07,"[{'azionista': 3041, 'quota': 42}, {'azionista': 2357, 'quota': 58}]",48
17514,"Cole, Martinez and Horton",1993-11-09,"[{'azionista': 4900, 'quota': 15}, {'azionista': 9933, 'quota': 55}, {'azionista': 1093, 'quota': 30}]",68
17515,Johnson LLC,1969-10-06,"[{'azionista': 4098, 'quota': 56}, {'azionista': 9745, 'quota': 44}]",27
17516,"Khan, Wall and Martinez",1987-05-11,"[{'azionista': 5425, 'quota': 5}, {'azionista': 3445, 'quota': 47}, {'azionista': 9921, 'quota': 48}]",84
17517,"Kane, Jordan and Reid",1984-01-09,"[{'azionista': 2359, 'quota': 86}, {'azionista': 5189, 'quota': 9}, {'azionista': 7860, 'quota': 5}]",25
17518,"Huff, Moss and Fowler",1973-04-28,"[{'azionista': 4929, 'quota': 39}, {'azionista': 3235, 'quota': 61}]",14
17519,"Walker, Williams and Lane",1996-04-23,"[{'azionista': 702, 'quota': 98}, {'azionista': 8828, 'quota': 2}]",99
17520,Clay PLC,1992-09-07,"[{'azionista': 2372, 'quota': 4}, {'azionista': 8620, 'quota': 76}, {'azionista': 9662, 'quota': 20}]",1
17521,Bender PLC,1999-01-18,"[{'azionista': 7490, 'quota': 74}, {'azionista': 8149, 'quota': 26}]",51
17522,King Inc,1961-08-21,"[{'azionista': 7517, 'quota': 64}, {'azionista': 5514, 'quota': 10}, {'azionista': 650, 'quota': 26}]",8
17523,"Carroll, Kelly and Hartman",1980-07-09,"[{'azionista': 3700, 'quota': 99}, {'azionista': 4325, 'quota': 1}]",68
17524,"Aguirre, Sanchez and Bowman",1977-01-10,"[{'azionista': 2899, 'quota': 11}, {'azionista': 4694, 'quota': 47}, {'azionista': 1087, 'quota': 37}, {'azionista': 7544, 'quota': 5}]",41
17525,"Gay, Wilson and Bowman",1968-06-29,"[{'azionista': 4964, 'quota': 52}, {'azionista': 7819, 'quota': 48}]",53
17526,Gardner-Kennedy,1999-01-29,"[{'azionista': 4947, 'quota': 83}, {'azionista': 2645, 'quota': 17}]",32
17527,"Savage, Roman and Lewis",1974-01-19,"[{'azionista': 1299, 'quota': 11}, {'azionista': 4033, 'quota': 72}, {'azionista': 7131, 'quota': 17}]",92
17528,Dickerson-Payne,1973-03-08,"[{'azionista': 7160, 'quota': 43}, {'azionista': 9771, 'quota': 18}, {'azionista': 4409, 'quota': 39}]",14
17529,Barnes LLC,1964-01-10,"[{'azionista': 7153, 'quota': 40}, {'azionista': 2811, 'quota': 58}, {'azionista': 1735, 'quota': 2}]",57
17530,Herring-Luna,1984-09-17,"[{'azionista': 8566, 'quota': 68}, {'azionista': 6585, 'quota': 16}, {'azionista': 1925, 'quota': 16}]",39
17531,Peters and Sons,1988-06-25,"[{'azionista': 6179, 'quota': 51}, {'azionista': 2351, 'quota': 49}]",61
17532,Gonzalez and Sons,1968-07-06,"[{'azionista': 2062, 'quota': 33}, {'azionista': 1935, 'quota': 67}]",37
17533,Perez-Young,1983-05-24,"[{'azionista': 4806, 'quota': 36}, {'azionista': 257, 'quota': 45}, {'azionista': 1548, 'quota': 19}]",27
17534,Robertson-Sandoval,1994-01-02,"[{'azionista': 4885, 'quota': 47}, {'azionista': 1833, 'quota': 22}, {'azionista': 7007, 'quota': 31}]",61
17535,Smith-Carlson,1987-10-20,"[{'azionista': 3346, 'quota': 58}, {'azionista': 6562, 'quota': 15}, {'azionista': 8230, 'quota': 23}, {'azionista': 7502, 'quota': 4}]",91
17536,Hayes-Edwards,1994-09-14,"[{'azionista': 7042, 'quota': 20}, {'azionista': 3630, 'quota': 80}]",53
17537,Carpenter-Kelley,1986-01-18,"[{'azionista': 8628, 'quota': 16}, {'azionista': 517, 'quota': 58}, {'azionista': 4858, 'quota': 26}]",66
17538,"Evans, Smith and Delgado",1960-06-22,"[{'azionista': 2028, 'quota': 3}, {'azionista': 6274, 'quota': 62}, {'azionista': 9462, 'quota': 35}]",24
17539,"Craig, Jackson and Williams",1988-06-29,"[{'azionista': 8938, 'quota': 30}, {'azionista': 8625, 'quota': 20}, {'azionista': 3371, 'quota': 50}]",45
17540,Rosales-Henderson,1995-09-17,"[{'azionista': 2198, 'quota': 82}, {'azionista': 9060, 'quota': 18}]",61
17541,Robertson Ltd,1969-12-17,"[{'azionista': 5037, 'quota': 16}, {'azionista': 9268, 'quota': 73}, {'azionista': 3715, 'quota': 11}]",40
17542,Parker-Lozano,1960-01-11,"[{'azionista': 6941, 'quota': 28}, {'azionista': 2886, 'quota': 29}, {'azionista': 3490, 'quota': 35}, {'azionista': 361, 'quota': 8}]",23
17543,"Harrington, Rodriguez and Wells",1982-09-23,"[{'azionista': 8955, 'quota': 96}, {'azionista': 6670, 'quota': 4}]",88
17544,Dawson-Lopez,1969-03-08,"[{'azionista': 3584, 'quota': 100}]",62
17545,"Williamson, Buckley and Jones",1984-12-12,"[{'azionista': 8144, 'quota': 11}, {'azionista': 2652, 'quota': 53}, {'azionista': 6999, 'quota': 36}]",60
17546,Johnson-Liu,1981-03-14,"[{'azionista': 7593, 'quota': 65}, {'azionista': 617, 'quota': 13}, {'azionista': 7712, 'quota': 11}, {'azionista': 2428, 'quota': 11}]",41
17547,Clark-Spencer,1982-05-07,"[{'azionista': 426, 'quota': 65}, {'azionista': 400, 'quota': 35}]",71
17548,"Martin, Fisher and Norton",1960-05-17,"[{'azionista': 4456, 'quota': 73}, {'azionista': 922, 'quota': 27}]",28
17549,Gray-Davenport,1989-08-27,"[{'azionista': 7333, 'quota': 11}, {'azionista': 9528, 'quota': 22}, {'azionista': 846, 'quota': 31}, {'azionista': 2739, 'quota': 34}, {'azionista': 1704, 'quota': 2}]",78
17550,"Mathis, Johnson and Wilson",1961-03-06,"[{'azionista': 4661, 'quota': 53}, {'azionista': 5154, 'quota': 34}, {'azionista': 9160, 'quota': 13}]",54
17551,Hill-Sutton,1968-11-23,"[{'azionista': 8056, 'quota': 50}, {'azionista': 8229, 'quota': 50}]",15
17552,Black-Le,1991-11-26,"[{'azionista': 6206, 'quota': 8}, {'azionista': 4582, 'quota': 70}, {'azionista': 352, 'quota': 22}]",101
17553,Shaffer Inc,1983-03-09,"[{'azionista': 3250, 'quota': 86}, {'azionista': 4836, 'quota': 14}]",39
17554,Harris Inc,1975-03-12,"[{'azionista': 9793, 'quota': 60}, {'azionista': 3556, 'quota': 7}, {'azionista': 131, 'quota': 33}]",73
17555,Green-Mata,1982-04-08,"[{'azionista': 6792, 'quota': 98}, {'azionista': 883, 'quota': 2}]",13
17556,Patel Group,1996-05-07,"[{'azionista': 6633, 'quota': 14}, {'azionista': 9530, 'quota': 25}, {'azionista': 2934, 'quota': 32}, {'azionista': 6443, 'quota': 29}]",20
17557,Adams and Sons,1993-11-12,"[{'azionista': 9607, 'quota': 66}, {'azionista': 7372, 'quota': 13}, {'azionista': 2729, 'quota': 21}]",10
17558,"Webb, Morgan and Wright",1997-04-13,"[{'azionista': 7131, 'quota': 88}, {'azionista': 7823, 'quota': 12}]",65
17559,Thompson-Harris,1999-12-01,"[{'azionista': 3885, 'quota': 51}, {'azionista': 3515, 'quota': 46}, {'azionista': 5084, 'quota': 3}]",38
17560,Taylor Group,1967-12-31,"[{'azionista': 9458, 'quota': 40}, {'azionista': 5730, 'quota': 1}, {'azionista': 6258, 'quota': 11}, {'azionista': 9197, 'quota': 41}, {'azionista': 6440, 'quota': 7}]",7
17561,Pope-Rivera,1964-01-07,"[{'azionista': 5259, 'quota': 38}, {'azionista': 2688, 'quota': 62}]",103
17562,Ramirez and Sons,1970-07-31,"[{'azionista': 5484, 'quota': 84}, {'azionista': 7828, 'quota': 16}]",18
17563,Smith Group,1998-11-07,"[{'azionista': 8801, 'quota': 46}, {'azionista': 3601, 'quota': 54}]",26
17564,Carter-Murray,1973-09-16,"[{'azionista': 5733, 'quota': 33}, {'azionista': 4221, 'quota': 67}]",61
17565,Hall-Jones,1995-01-30,"[{'azionista': 3719, 'quota': 56}, {'azionista': 8475, 'quota': 36}, {'azionista': 6207, 'quota': 8}]",72
17566,Moore-Herrera,1984-08-13,"[{'azionista': 6660, 'quota': 84}, {'azionista': 1070, 'quota': 16}]",10
17567,Taylor LLC,1976-06-17,"[{'azionista': 5132, 'quota': 86}, {'azionista': 2588, 'quota': 14}]",66
17568,Jones and Sons,1978-04-07,"[{'azionista': 7399, 'quota': 42}, {'azionista': 6696, 'quota': 44}, {'azionista': 2145, 'quota': 14}]",87
17569,Jennings Group,1987-01-31,"[{'azionista': 8929, 'quota': 74}, {'azionista': 1777, 'quota': 26}]",93
17570,Diaz LLC,1979-06-01,"[{'azionista': 7777, 'quota': 51}, {'azionista': 4589, 'quota': 15}, {'azionista': 9731, 'quota': 34}]",58
17571,"Vega, Wright and Cole",1986-11-28,"[{'azionista': 8726, 'quota': 40}, {'azionista': 3833, 'quota': 44}, {'azionista': 3371, 'quota': 16}]",72
17572,Hunt-Blanchard,1975-10-23,"[{'azionista': 5184, 'quota': 6}, {'azionista': 549, 'quota': 18}, {'azionista': 7150, 'quota': 72}, {'azionista': 1518, 'quota': 3}, {'azionista': 5034, 'quota': 1}]",27
17573,"Davenport, Wade and Dunlap",1989-09-28,"[{'azionista': 4346, 'quota': 94}, {'azionista': 3634, 'quota': 6}]",94
17574,"Hardin, Henderson and Davis",1990-10-29,"[{'azionista': 1065, 'quota': 47}, {'azionista': 5844, 'quota': 39}, {'azionista': 4129, 'quota': 14}]",103
17575,"Moore, Baker and Lopez",1998-09-30,"[{'azionista': 7085, 'quota': 5}, {'azionista': 8019, 'quota': 95}]",2
17576,Morales-Ortiz,1976-02-02,"[{'azionista': 6356, 'quota': 34}, {'azionista': 2344, 'quota': 15}, {'azionista': 5531, 'quota': 11}, {'azionista': 6292, 'quota': 40}]",33
17577,Thornton-Velez,1992-04-24,"[{'azionista': 2454, 'quota': 57}, {'azionista': 1659, 'quota': 43}]",79
17578,Cooper Ltd,1970-10-16,"[{'azionista': 1557, 'quota': 46}, {'azionista': 1060, 'quota': 54}]",95
17579,Frank-Alvarez,1985-05-18,"[{'azionista': 4597, 'quota': 97}, {'azionista': 9718, 'quota': 3}]",61
17580,"Jensen, Todd and French",1993-07-15,"[{'azionista': 6732, 'quota': 20}, {'azionista': 7115, 'quota': 7}, {'azionista': 5247, 'quota': 72}, {'azionista': 5187, 'quota': 1}]",89
17581,"Thompson, Williams and Wallace",1962-02-25,"[{'azionista': 4340, 'quota': 67}, {'azionista': 1217, 'quota': 33}]",101
17582,"Mitchell, Lewis and Brooks",1981-07-18,"[{'azionista': 2985, 'quota': 62}, {'azionista': 8604, 'quota': 38}]",15
17583,"Rivera, Olson and Mathis",1979-04-01,"[{'azionista': 7902, 'quota': 74}, {'azionista': 9902, 'quota': 26}]",54
17584,Dominguez Group,1996-07-27,"[{'azionista': 7334, 'quota': 76}, {'azionista': 3655, 'quota': 7}, {'azionista': 4332, 'quota': 17}]",84
17585,"Soto, Mendoza and Woods",1979-04-30,"[{'azionista': 5564, 'quota': 31}, {'azionista': 6648, 'quota': 6}, {'azionista': 7777, 'quota': 34}, {'azionista': 3220, 'quota': 29}]",71
17586,Green PLC,1980-10-17,"[{'azionista': 3004, 'quota': 45}, {'azionista': 9636, 'quota': 37}, {'azionista': 6984, 'quota': 18}]",71
17587,Irwin-Campbell,1991-01-03,"[{'azionista': 5583, 'quota': 84}, {'azionista': 578, 'quota': 16}]",51
17588,Parker-Curry,1984-01-13,"[{'azionista': 4379, 'quota': 58}, {'azionista': 9293, 'quota': 42}]",78
17589,Meyers PLC,1972-03-19,"[{'azionista': 4201, 'quota': 75}, {'azionista': 189, 'quota': 25}]",45
17590,"Snyder, Parker and Stokes",1987-07-25,"[{'azionista': 9727, 'quota': 79}, {'azionista': 46, 'quota': 21}]",11
17591,"Meyer, Thomas and Smith",1996-03-24,"[{'azionista': 9558, 'quota': 60}, {'azionista': 2259, 'quota': 40}]",92
17592,"Brown, Smith and Garcia",1966-12-27,"[{'azionista': 4116, 'quota': 27}, {'azionista': 3676, 'quota': 10}, {'azionista': 9363, 'quota': 63}]",34
17593,Kim-Dickerson,1990-12-01,"[{'azionista': 8709, 'quota': 82}, {'azionista': 4346, 'quota': 18}]",46
17594,Howell-Patterson,1996-06-23,"[{'azionista': 6339, 'quota': 64}, {'azionista': 8789, 'quota': 36}]",18
17595,"Harrison, Hall and Jordan",1976-09-18,"[{'azionista': 4828, 'quota': 37}, {'azionista': 1000, 'quota': 63}]",89
17596,Williamson PLC,1970-01-09,"[{'azionista': 4838, 'quota': 16}, {'azionista': 6649, 'quota': 18}, {'azionista': 5699, 'quota': 14}, {'azionista': 9741, 'quota': 52}]",49
17597,"Clark, Orr and Nichols",1983-05-06,"[{'azionista': 2468, 'quota': 28}, {'azionista': 6889, 'quota': 34}, {'azionista': 3621, 'quota': 38}]",64
17598,Lambert-Oliver,1977-07-01,"[{'azionista': 4310, 'quota': 19}, {'azionista': 5010, 'quota': 4}, {'azionista': 840, 'quota': 77}]",66
17599,Pace-Moore,1997-05-09,"[{'azionista': 7116, 'quota': 27}, {'azionista': 1313, 'quota': 7}, {'azionista': 9421, 'quota': 58}, {'azionista': 3464, 'quota': 8}]",57
17600,Schroeder-Patel,1981-04-04,"[{'azionista': 5666, 'quota': 11}, {'azionista': 2496, 'quota': 78}, {'azionista': 2025, 'quota': 11}]",29
17601,"Rogers, Campbell and Bolton",1985-04-10,"[{'azionista': 6845, 'quota': 95}, {'azionista': 2238, 'quota': 5}]",49
17602,Chase PLC,1976-10-18,"[{'azionista': 916, 'quota': 80}, {'azionista': 7631, 'quota': 2}, {'azionista': 1191, 'quota': 13}, {'azionista': 4024, 'quota': 5}]",73
17603,Owens Inc,1977-06-18,"[{'azionista': 1805, 'quota': 87}, {'azionista': 3955, 'quota': 1}, {'azionista': 6380, 'quota': 5}, {'azionista': 5523, 'quota': 7}]",90
17604,Lawrence Group,1982-06-08,"[{'azionista': 8575, 'quota': 20}, {'azionista': 3679, 'quota': 43}, {'azionista': 3684, 'quota': 37}]",93
17605,"Lee, Knight and Stewart",1977-04-30,"[{'azionista': 474, 'quota': 44}, {'azionista': 6709, 'quota': 30}, {'azionista': 457, 'quota': 26}]",83
17606,Cummings-Wong,1992-10-18,"[{'azionista': 7268, 'quota': 77}, {'azionista': 131, 'quota': 23}]",90
17607,"Wells, Gray and Lewis",1974-07-13,"[{'azionista': 4155, 'quota': 97}, {'azionista': 875, 'quota': 3}]",65
17608,Hall-Perry,1999-11-09,"[{'azionista': 4198, 'quota': 57}, {'azionista': 2583, 'quota': 43}]",76
17609,"Compton, Herrera and Henderson",1980-05-23,"[{'azionista': 5571, 'quota': 51}, {'azionista': 7192, 'quota': 49}]",49
17610,"Munoz, Skinner and Brown",1962-03-29,"[{'azionista': 5727, 'quota': 32}, {'azionista': 3476, 'quota': 68}]",100
17611,Stout Group,1963-08-03,"[{'azionista': 2237, 'quota': 38}, {'azionista': 3748, 'quota': 46}, {'azionista': 5686, 'quota': 16}]",98
17612,"Baldwin, Torres and Beck",1979-05-04,"[{'azionista': 9769, 'quota': 98}, {'azionista': 5764, 'quota': 2}]",22
