id,nome,data_fondazione,quotazioni,sede
0,Allen-Bartlett,1979-11-05,"[{'azionista': 6623, 'quota': 52}, {'azionista': 7022, 'quota': 48}]",91
1,"Robinson, Moore and Johns",1993-01-07,"[{'azionista': 8244, 'quota': 50}, {'azionista': 5979, 'quota': 28}, {'azionista': 8552, 'quota': 22}]",50
2,Lane Inc,1977-06-14,"[{'azionista': 6765, 'quota': 94}, {'azionista': 3934, 'quota': 6}]",42
3,"Lopez, Fletcher and Huber",1999-04-09,"[{'azionista': 8380, 'quota': 26}, {'azionista': 6951, 'quota': 45}, {'azionista': 4862, 'quota': 29}]",44
4,Garcia-Henderson,1986-03-02,"[{'azionista': 4111, 'quota': 9}, {'azionista': 6125, 'quota': 30}, {'azionista': 8234, 'quota': 28}, {'azionista': 7059, 'quota': 33}]",94
5,Jones PLC,1969-09-17,"[{'azionista': 7847, 'quota': 17}, {'azionista': 8717, 'quota': 13}, {'azionista': 7884, 'quota': 39}, {'azionista': 8513, 'quota': 31}]",26
6,Smith-Juarez,1997-10-20,"[{'azionista': 8126, 'quota': 23}, {'azionista': 8716, 'quota': 28}, {'azionista': 5908, 'quota': 44}, {'azionista': 3942, 'quota': 5}]",82
7,Woods-Walls,1998-11-11,"[{'azionista': 7566, 'quota': 41}, {'azionista': 7262, 'quota': 32}, {'azionista': 7407, 'quota': 11}, {'azionista': 6099, 'quota': 16}]",102
8,Jones-Burton,1969-07-08,"[{'azionista': 4755, 'quota': 52}, {'azionista': 4726, 'quota': 14}, {'azionista': 8641, 'quota': 34}]",14
9,"Shelton, Lewis and Moran",1978-04-20,"[{'azionista': 5903, 'quota': 69}, {'azionista': 6455, 'quota': 31}]",86
10,Juarez Group,1976-01-18,"[{'azionista': 5456, 'quota': 55}, {'azionista': 6387, 'quota': 45}]",33
11,Adams PLC,1976-08-19,"[{'azionista': 7528, 'quota': 38}, {'azionista': 7038, 'quota': 62}]",34
12,"Hill, Garcia and Allen",1968-05-22,"[{'azionista': 7659, 'quota': 78}, {'azionista': 6324, 'quota': 22}]",53
