azienda,azionista,quota,ubo
0,6623,52,0,
0,7022,48,0,
1,8244,50,0,
1,5979,28,0,
1,8552,22,0,
2,6765,94,0,
2,3934,6,0,
3,8380,26,0,
3,6951,45,0,
3,4862,29,0,
4,4111,9,0,
4,6125,30,0,
4,8234,28,0,
4,7059,33,0,
5,7847,17,0,
5,8717,13,0,
5,7884,39,0,
5,8513,31,0,
6,8126,23,0,
6,8716,28,0,
6,5908,44,0,
6,3942,5,0,
7,7566,41,0,
7,7262,32,0,
7,7407,11,0,
7,6099,16,0,
8,4755,52,0,
8,4726,14,0,
8,8641,34,0,
9,5903,69,0,
9,6455,31,0,
10,5456,55,0,
10,6387,45,0,
11,7528,38,0,
11,7038,62,0,
12,7659,78,0,
12,6324,22,0,
13,6037,69,0,
13,8690,31,0,
14,8668,4,0,
14,4482,73,0,
14,5388,23,0,
15,3923,34,0,
15,4688,9,0,
15,6691,15,0,
15,8446,42,0,
16,7602,61,0,
16,4144,25,0,
16,5721,14,0,
17,7972,79,0,
17,6275,21,0,
18,4643,82,0,
18,7973,18,0,
19,6605,87,0,
19,6221,5,0,
19,8514,5,0,
19,5359,3,0,
20,7797,31,0,
20,4281,69,0,
21,4129,57,0,
21,7165,43,0,
22,4734,93,0,
22,6140,1,0,
22,4363,6,0,
23,8510,7,0,
23,6321,72,0,
23,6992,17,0,
23,6445,3,0,
23,5389,1,0,
24,7676,72,0,
24,5008,7,0,
24,4024,21,0,
25,4207,66,0,
25,4726,34,0,
26,7640,11,0,
26,4134,77,0,
26,4518,12,0,
27,3842,9,0,
27,3843,91,0,
28,3896,6,0,
28,6050,21,0,
28,8574,56,0,
28,5299,17,0,
29,7494,59,0,
29,6109,41,0,
30,6762,3,0,
30,8028,82,0,
30,6612,15,0,
31,8178,57,0,
31,7013,13,0,
31,5474,20,0,
31,7778,9,0,
31,7564,1,0,
32,4099,4,0,
32,4026,51,0,
32,6012,45,0,
33,7044,25,0,
33,5712,8,0,
33,6675,23,0,
33,7779,44,0,
34,7175,75,0,
34,8306,11,0,
34,6815,14,0,
35,3823,82,0,
35,8095,18,0,
36,8236,23,0,
36,7702,13,0,
36,5240,64,0,
37,4992,34,0,
37,3995,11,0,
37,5552,55,0,
38,6911,80,0,
38,6467,20,0,
39,5183,81,0,
39,6279,19,0,
40,7447,95,0,
40,6550,5,0,
41,5428,30,0,
41,4279,70,0,
42,4034,37,0,
42,6801,16,0,
42,7151,1,0,
42,7295,46,0,
43,5384,92,0,
43,6625,8,0,
44,7765,32,0,
44,6411,64,0,
44,5742,4,0,
45,3943,27,0,
45,4515,43,0,
45,7294,30,0,
46,6438,79,0,
46,7783,21,0,
47,6055,99,0,
47,8373,1,0,
48,7555,9,0,
48,7433,80,0,
48,8540,11,0,
49,7931,99,0,
49,7008,1,0,
50,4283,4,0,
50,4073,61,0,
50,4538,35,0,
51,5414,82,0,
51,7784,18,0,
52,4441,39,0,
52,3845,61,0,
53,5794,86,0,
53,6802,14,0,
54,5974,4,0,
54,8716,48,0,
54,5298,41,0,
54,5749,7,0,
55,4169,38,0,
55,6051,46,0,
55,5692,16,0,
56,5752,2,0,
56,5386,17,0,
56,5063,81,0,
57,4336,3,0,
57,6066,89,0,
57,7044,8,0,
58,7894,15,0,
58,6201,12,0,
58,7809,59,0,
58,8741,14,0,
59,4322,3,0,
59,5335,34,0,
59,8484,63,0,
60,7556,66,0,
60,5875,34,0,
61,5597,61,0,
61,8213,39,0,
62,7122,15,0,
62,4988,85,0,
63,5111,5,0,
63,5430,79,0,
63,8518,16,0,
64,4831,1,0,
64,5740,61,0,
64,6649,38,0,
65,6543,84,0,
65,3758,16,0,
66,7209,23,0,
66,5216,19,0,
66,6417,27,0,
66,6830,2,0,
66,5544,20,0,
66,7159,9,0,
67,7083,36,0,
67,5403,16,0,
67,4752,48,0,
68,6408,53,0,
68,8608,47,0,
69,7694,60,0,
69,7749,40,0,
70,8666,45,0,
70,4691,55,0,
71,4914,26,0,
71,4866,48,0,
71,8382,6,0,
71,7363,20,0,
72,4066,65,0,
72,8086,35,0,
73,5976,86,0,
73,8384,14,0,
74,8052,53,0,
74,3845,12,0,
74,7590,13,0,
74,7324,22,0,
75,8493,74,0,
75,8298,8,0,
75,4482,18,0,
76,7576,89,0,
76,6987,11,0,
77,6896,64,0,
77,7563,36,0,
78,5233,1,0,
78,7525,72,0,
78,8077,27,0,
79,8402,50,0,
79,7069,15,0,
79,3749,35,0,
80,5189,47,0,
80,4767,10,0,
80,5681,43,0,
81,7113,79,0,
81,4131,21,0,
82,6393,4,0,
82,4915,21,0,
82,7395,47,0,
82,6076,18,0,
82,5930,10,0,
83,7224,97,0,
83,8041,3,0,
84,3752,13,0,
84,5328,46,0,
84,8602,41,0,
85,5462,14,0,
85,6026,44,0,
85,4480,42,0,
86,7460,18,0,
86,6928,56,0,
86,4008,19,0,
86,4665,7,0,
87,6400,81,0,
87,4248,19,0,
88,5109,23,0,
88,8292,77,0,
89,8169,44,0,
89,5284,50,0,
89,5373,6,0,
90,6648,48,0,
90,7935,51,0,
90,7981,1,0,
91,5995,44,0,
91,7215,56,0,
92,6412,100,0,
93,5087,12,0,
93,8540,22,0,
93,6853,66,0,
94,7666,44,0,
94,7115,56,0,
95,7977,41,0,
95,6619,59,0,
96,7334,41,0,
96,5172,29,0,
96,5816,30,0,
97,5660,59,0,
97,6539,41,0,
98,7155,10,0,
98,4306,37,0,
98,7521,13,0,
98,4609,1,0,
98,7246,35,0,
98,5367,4,0,
99,4936,7,0,
99,8647,60,0,
99,5274,33,0,
100,4359,74,0,
100,5748,8,0,
100,7524,18,0,
101,6867,100,0,
102,5413,14,0,
102,6418,3,0,
102,6843,83,0,
103,8667,2,0,
103,6731,14,0,
103,8711,11,0,
103,7990,71,0,
103,7583,2,0,
104,7891,15,0,
104,8660,37,0,
104,6167,39,0,
104,6955,9,0,
105,5185,61,0,
105,5536,39,0,
106,7276,60,0,
106,3813,40,0,
107,8684,22,0,
107,6804,23,0,
107,7505,1,0,
107,6681,54,0,
108,4372,18,0,
108,6844,43,0,
108,5928,39,0,
109,6525,29,0,
109,8558,55,0,
109,4847,16,0,
110,8366,59,0,
110,6456,41,0,
111,3844,88,0,
111,5644,12,0,
112,4990,48,0,
112,7796,44,0,
112,5675,8,0,
113,6636,60,0,
113,7954,40,0,
114,6877,94,0,
114,5765,6,0,
115,5069,71,0,
115,8628,29,0,
116,6003,7,0,
116,5174,11,0,
116,6951,82,0,
117,8264,16,0,
117,6785,71,0,
117,4521,13,0,
118,8450,62,0,
118,6083,38,0,
119,5797,9,0,
119,4199,32,0,
119,6850,59,0,
120,8006,3,0,
120,4979,41,0,
120,5205,7,0,
120,6009,49,0,
121,6731,32,0,
121,7531,39,0,
121,8339,18,0,
121,6757,11,0,
122,8335,98,0,
122,5457,2,0,
123,5317,47,0,
123,7713,39,0,
123,8584,14,0,
124,6044,39,0,
124,5183,16,0,
124,6366,24,0,
124,4531,18,0,
124,8123,3,0,
125,7774,53,0,
125,7853,40,0,
125,4128,7,0,
126,5245,49,0,
126,5110,19,0,
126,5555,32,0,
127,5412,91,0,
127,8434,9,0,
128,5777,29,0,
128,7539,71,0,
129,6881,34,0,
129,7212,31,0,
129,5407,28,0,
129,8581,7,0,
130,7770,59,0,
130,7206,41,0,
131,5321,51,0,
131,7133,49,0,
132,6618,55,0,
132,7543,45,0,
133,7125,43,0,
133,4495,43,0,
133,4813,14,0,
134,8376,32,0,
134,4498,36,0,
134,5815,32,0,
135,6263,44,0,
135,5187,56,0,
136,8007,25,0,
136,4989,58,0,
136,3918,17,0,
137,3824,97,0,
137,8431,3,0,
138,7156,96,0,
138,6069,4,0,
139,6723,65,0,
139,5914,22,0,
139,8393,13,0,
140,6906,28,0,
140,7866,72,0,
141,4915,56,0,
141,4062,44,0,
142,6133,95,0,
142,6517,5,0,
143,6210,73,0,
143,8020,17,0,
143,6341,10,0,
144,3812,61,0,
144,6026,39,0,
145,5421,31,0,
145,7624,69,0,
146,5327,91,0,
146,5675,9,0,
147,4996,88,0,
147,7006,12,0,
148,4440,35,0,
148,7412,61,0,
148,5285,4,0,
149,8697,60,0,
149,5966,10,0,
149,3837,30,0,
150,5452,21,0,
150,5961,44,0,
150,8397,35,0,
151,5323,25,0,
151,4926,18,0,
151,6317,42,0,
151,5223,15,0,
152,4152,31,0,
152,8375,39,0,
152,7675,30,0,
153,5912,43,0,
153,3805,45,0,
153,4164,12,0,
154,6076,91,0,
154,8223,9,0,
155,4630,50,0,
155,8565,2,0,
155,4652,12,0,
155,6015,24,0,
155,5318,12,0,
156,8584,87,0,
156,6025,13,0,
157,5043,24,0,
157,5344,76,0,
158,3966,94,0,
158,7079,6,0,
159,5417,77,0,
159,6962,23,0,
160,8644,8,0,
160,7736,59,0,
160,8637,33,0,
161,6162,24,0,
161,8193,76,0,
162,7689,19,0,
162,7284,8,0,
162,6377,47,0,
162,6105,6,0,
162,6202,20,0,
163,6323,99,0,
163,5377,1,0,
164,7630,72,0,
164,7594,28,0,
165,7940,63,0,
165,6392,37,0,
166,8371,23,0,
166,4904,16,0,
166,4856,61,0,
167,6919,14,0,
167,4232,55,0,
167,8652,31,0,
168,6249,63,0,
168,6914,2,0,
168,7386,35,0,
169,6527,32,0,
169,4532,68,0,
170,4789,54,0,
170,8280,9,0,
170,4440,29,0,
170,7871,8,0,
171,7668,9,0,
171,6325,57,0,
171,6592,6,0,
171,7765,28,0,
172,4102,69,0,
172,4539,31,0,
173,6760,69,0,
173,4886,31,0,
174,7652,14,0,
174,6408,28,0,
174,8256,26,0,
174,4077,32,0,
175,7066,87,0,
175,4983,13,0,
176,5212,80,0,
176,8641,20,0,
177,4058,38,0,
177,7860,25,0,
177,6704,37,0,
178,4394,84,0,
178,7105,16,0,
179,5146,54,0,
179,3769,6,0,
179,4002,40,0,
180,8084,70,0,
180,4966,30,0,
181,6828,51,0,
181,3983,49,0,
182,7816,90,0,
182,4159,10,0,
183,8303,83,0,
183,5728,17,0,
184,4257,99,0,
184,5790,1,0,
185,8350,94,0,
185,4647,6,0,
186,4872,90,0,
186,5024,10,0,
187,4851,43,0,
187,6091,38,0,
187,4535,19,0,
188,6122,33,0,
188,8672,67,0,
189,6247,86,0,
189,8687,4,0,
189,5673,10,0,
190,6766,96,0,
190,4777,4,0,
191,5662,17,0,
191,4932,83,0,
192,5201,27,0,
192,7774,42,0,
192,5525,31,0,
193,7622,96,0,
193,5886,4,0,
194,4078,56,0,
194,8111,26,0,
194,7185,18,0,
195,8302,61,0,
195,6678,4,0,
195,7362,35,0,
196,5229,67,0,
196,8703,25,0,
196,4730,3,0,
196,5093,5,0,
197,3914,21,0,
197,8163,79,0,
198,6199,38,0,
198,5460,28,0,
198,3925,34,0,
199,7234,26,0,
199,4984,36,0,
199,4249,38,0,
200,7655,33,0,
200,4459,54,0,
200,6155,13,0,
201,4761,80,0,
201,4608,19,0,
201,4894,1,0,
202,4718,58,0,
202,7565,42,0,
203,4468,9,0,
203,4780,82,0,
203,5683,9,0,
204,5256,54,0,
204,7236,46,0,
205,5059,78,0,
