id,codice_transazione,importo,emittente,beneficiario,banca,data
0,398444,138803.95,1427,1502,108,2012-01-05
1,475427,216104.39,3940,3469,68,2003-08-23
2,954138,4955.29,5615,4150,46,2021-03-03
3,366831,116698.25,1558,2452,76,2020-09-12
4,144513,311066.13,3835,4151,84,2003-04-04
5,129459,274732.16,3650,3900,34,2009-12-09
6,918404,849259.16,5489,6025,29,2009-04-30
7,863764,831299.07,3229,4448,54,2006-11-30
8,684249,16660.18,5131,6148,90,2019-06-21
9,932577,466049.34,3786,3318,95,2009-09-17
10,614221,350245.65,6150,2224,65,2011-09-08
11,633782,747243.26,5108,618,111,2007-05-09
12,460539,257695.39,6079,382,80,2003-10-30
13,762816,623242.65,2457,1222,1,2017-05-28
14,389718,353463.84,3960,5004,117,2017-02-02
15,124044,79335.57,3992,1494,87,2008-09-16
16,737298,490750.42,2187,988,75,2020-02-07
17,558445,561409.36,1365,6115,45,2015-12-04
18,467319,310427.97,1236,1506,100,2012-09-14
19,262079,721163.94,2343,6072,22,2008-12-05
20,456755,925428.22,4473,2386,70,2018-02-11
21,609391,773022.19,4992,1552,75,2013-07-01
22,357390,642855.87,4374,1795,117,2002-11-11
23,328250,33094.3,2499,2219,79,2011-03-03
24,554452,93131.71,4178,1790,84,2006-10-03
25,304286,644383.28,6076,4142,31,2022-04-19
26,275624,938288.54,4255,2684,47,2004-10-06
27,718004,203373.62,3256,5026,55,2012-08-31
28,804218,601680.7,2959,3591,35,2011-03-12
29,259399,716834.27,1192,1594,21,2015-06-17
30,143231,34709.01,4670,1800,47,2003-06-26
31,563325,983068.87,178,5465,52,2000-06-14
32,765259,978294.04,1185,110,61,2011-04-19
33,94135,969910.38,5794,2420,118,2014-01-11
34,871205,384118.89,6028,5411,23,2000-07-30
35,406420,564448.69,2569,5282,28,2019-12-01
36,863063,732229.87,213,5522,66,2018-11-23
37,7845,931639.39,2162,3641,118,2015-11-22
38,75844,370374.01,3072,5887,99,2013-09-05
39,170229,137197.24,5353,2364,56,2003-05-07
40,451205,70440.54,1293,1840,112,2005-11-02
41,521812,432679.06,4554,4454,25,2002-09-17
42,244871,535869.78,5920,5349,84,2010-05-04
43,263670,746421.28,449,2070,107,2009-07-18
44,999450,212854.27,4308,5315,54,2003-10-09
45,520344,887445.07,1474,2428,33,2011-05-19
46,387805,270912.09,285,3428,3,2009-12-18
47,3214,618716.23,2467,3735,95,2015-06-25
48,591887,979931.85,3180,5680,90,2001-02-07
49,209259,658303.54,4850,4870,44,2000-11-11
50,160111,398566.89,1802,2672,29,2007-03-23
51,465214,759323.36,1250,3437,48,2020-12-20
52,461221,898962.33,4591,4775,108,2014-12-04
53,153416,894618.48,3583,5301,28,2003-10-07
54,229753,566243.4,5847,2681,103,2001-08-14
55,254385,786147.32,2455,5561,50,2005-04-02
56,602279,996238.48,3419,3054,49,2013-08-17
57,8073,122758.68,2619,6201,26,2007-10-17
58,760685,588097.63,438,5274,43,2006-07-27
59,703423,162995.55,1529,2245,72,2019-06-04
60,849515,168071.73,1679,219,77,2016-09-13
61,889393,368109.1,5779,5561,117,2012-11-16
